리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,리뷰5,new리뷰,토큰화된리뷰
가성비도 좋고 맛있어요,중식,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"['좋다', '맛있다']","['좋다', '맛있다']","[2, 1]"
이집 몇번방문했는데 갈때마다 계산하는 사장님인지잘모르겠지만 여자분 불친절합니다 인사를바라는건아니지만 결제 끝나면 그냥 아무말없이 카드 던져주듯 건네고 들어올땐 손님이지만  돈받으면 끝이라는느낌몇번 갔었는데 첨엔 바뻐서 그러려니했는데 갈때마다그러셔서 이제안갈려구요  저만 느낀게 아니라 같이간 일행분들도다그렇게 얘기하셔서 왠만하면 리뷰안적는데  적어봅니다 다른손님분들한테는 조금은 친절히 대해주세요,한식,"['불친절하다', '아니다', '바쁘다', '그렇다', '그렇다', '아니다', '같다', '왠만하다', '친절하다']",불친절하다 아니다 바쁘다 그렇다 그렇다 아니다 같다 왠만하다 친절하다,불친절하다 아니다 바쁘다 그렇다 그렇다 아니다 같다 왠만하다 친절하다,0,"['불친절하다', '아니다', '바쁘다', '그렇다', '그렇다', '아니다', '같다', '왠만하다', '친절하다']","['불친절하다', '아니다', '바쁘다', '그렇다', '그렇다', '아니다', '같다', '왠만하다', '친절하다']","[14, 6, 22, 12, 12, 6, 5, 177, 7]"
크리스피 오리지날먹방하는 날 한번먹으면개 기본아닙니까,디저트,['아니다'],아니다,아니다,0,['아니다'],['아니다'],[6]
오징어먹물파스타 여기서만먹을수있는맛아이들보단 여자들이 맛있어하는 맛들이 많아요,양식,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"['맛있다', '많다']","['맛있다', '많다']","[1, 8]"
코로나  때문에 다소  불편했지만즐겁게 잘 먹고 왔습니다저희 가족은 이번이두번째 방문입니다첫번째 방문 당시의 음식과다양성은 별 차이가 없어지만스테이크 코너부분은  고기가부드럽고 좋았습니다모두분들 수고하십시요,양식,"['불편하다', '즐겁다', '이다', '부드럽다', '좋다']",불편하다 즐겁다 이다 부드럽다 좋다,불편하다 즐겁다 이다 부드럽다 좋다,1,"['불편하다', '즐겁다', '이다', '부드럽다', '좋다']","['불편하다', '즐겁다', '이다', '부드럽다', '좋다']","[13, 64, 11, 36, 2]"
음식이 좀 먹을게 없었던것같네요 ,양식,"['없다', '같다']",없다 같다,없다 같다,0,"['없다', '같다']","['없다', '같다']","[3, 5]"
메뉴가 전반적으로 맛있었습니다 사진은 원래 한 메뉴를 반반씩 나눠 담아준 사이즈예요 ,중식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
친구들과   맛잇게잘먹엇어요강추합니다,일식,['추하다'],추하다,추하다,0,['추하다'],['추하다'],[40]
안쪽 까지 에어컨 없이 먹으니 더웠어요감자탕은 맛나요 ,한식,['덥다'],덥다,덥다,0,['덥다'],['덥다'],[25]
카레 생각나면 여기로 와요 매장도 깨끗하고 음식 종류도 많고 기본 반찬부터 다 맛있어요  ,양식,"['깨끗하다', '많다', '맛있다']",깨끗하다 많다 맛있다,깨끗하다 많다 맛있다,1,"['깨끗하다', '많다', '맛있다']","['깨끗하다', '많다', '맛있다']","[38, 8, 1]"
쫀맛이예용 가격두 저렴하구 또올꺼예요,한식,['저렴하다'],저렴하다,저렴하다,1,['저렴하다'],['저렴하다'],[68]
가족들이랑 예약해서 잘먹었습니다 신디 서버 예쁘고 친절합니다 감사합니다,양식,"['예쁘다', '친절하다']",예쁘다 친절하다,예쁘다 친절하다,1,"['예쁘다', '친절하다']","['예쁘다', '친절하다']","[28, 7]"
새롭긴한데 시간 넘게 기다려 먹을 맛은 아닌거같아요,퓨전,"['새롭다', '아니다', '같다']",새롭다 아니다 같다,새롭다 아니다 같다,0,"['새롭다', '아니다', '같다']","['새롭다', '아니다', '같다']","[51, 6, 5]"
양도 많고 맛있어요가성비 초밥 맛집입니다다만 사람이 많아서인지 실내가 좀 시끄러워요,일식,"['많다', '맛있다', '이다', '많다', '시끄럽다']",많다 맛있다 이다 많다 시끄럽다,많다 맛있다 이다 많다 시끄럽다,1,"['많다', '맛있다', '이다', '많다', '시끄럽다']","['많다', '맛있다', '이다', '많다', '시끄럽다']","[8, 1, 11, 8, 29]"
대게와 볶음밥은 너무맛있었는데  그전에나온음식들이 다 너무 식었고 튀김은 느끼해서 돈은 좀아깝다는 생각을 했습니다 대게는정말 대게철이 아님에도 불구하고 양이많았네요ㅎ,해산물,"['맛있다', '느끼하다', '아깝다', '아니다', '많다']",맛있다 느끼하다 아깝다 아니다 많다,맛있다 느끼하다 아깝다 아니다 많다,0,"['맛있다', '느끼하다', '아깝다', '아니다', '많다']","['맛있다', '느끼하다', '아깝다', '아니다', '많다']","[1, 26, 20, 6, 8]"
카카오맵 평점 점대인 곳인데 원래 갈려고 한 곳이 문닫아 이 집을 선택했습니다왜 카카오맵 평점 점대인지 알 것 같습니다 김치전 구워먹을 수 있고 과자 아이스크림 무료로 재공해줍니다 그런데 사장님 서비스가 불친절 합니다 이게 말로 표현하기 어려운데 오묘하게 불친절 합니다 그리고 젤 이해안됐던게 명에서 콜라를 시켰는데 컵을 개만 줘서 개만 더 달라니깐 저희는 컵을 개만 준다고 합니다 ㅋㅋ 이게 진짜 젤 어이없었습니다 맛을 떠나서 밥 다 먹고 기분이 나빠졌었습니다 추천할 곳은 아닙니다 저처럼 주위에 먹을게 너무 없다 싶으면 가세요,중식,"['같다', '있다', '어렵다', '오묘하다', '어이없다', '아니다', '없다']",같다 있다 어렵다 오묘하다 어이없다 아니다 없다,같다 있다 어렵다 오묘하다 어이없다 아니다 없다,0,"['같다', '있다', '어렵다', '오묘하다', '어이없다', '아니다', '없다']","['같다', '있다', '어렵다', '오묘하다', '어이없다', '아니다', '없다']","[5, 4, 70, 145, 6, 3]"
남자친구랑 울산에 놀러올때마다 정말 많이 먹었던 곳인데 오랜만에 방문했어요 저희의 픽은 카라이마제소바랑 돈까스 세트메뉴에요 ㅠㅠ 여긴 진짜 엄청난 찐맛집이라 자주 오는데 믿고 먹는 백소정 삼산점이에요 울산 삼산에서 마제소바나 돈까스가 생각나시는 분들은 비싼 돈 주고 백화점에서 드실필요 없이 꼭 여기드세요  백화점보다 더더더더 존맛탱이에여 ,일식,"['엄청나다', '비싸다']",엄청나다 비싸다,엄청나다 비싸다,0,"['엄청나다', '비싸다']","['엄청나다', '비싸다']","[140, 9]"
대게정식 먹었는데 대게살도 꽉 차 있고 먹기쉽게 다 잘라주시고 서비스나 음식맛도 나쁘지 않았어요 평일점심에 가서 사람도 없고 여유로운 식사했네요,해산물,"['있다', '나쁘다', '없다']",있다 나쁘다 없다,있다 나쁘다 없다,0,"['있다', '나쁘다', '없다']","['있다', '나쁘다', '없다']","[4, 18, 3]"
맛있는데 가격이 비싸고 주차장도 좁고 웨이팅 시간이 길어서 아쉬워요,한식,"['맛있다', '비싸다', '좁다', '아쉽다']",맛있다 비싸다 좁다 아쉽다,맛있다 비싸다 좁다 아쉽다,0,"['맛있다', '비싸다', '좁다', '아쉽다']","['맛있다', '비싸다', '좁다', '아쉽다']","[1, 9, 72, 10]"
음식이 모두 맛있습니다 만족도가 매우 높아요,양식,"['맛있다', '높다']",맛있다 높다,맛있다 높다,1,"['맛있다', '높다']","['맛있다', '높다']","[1, 125]"
진짜 넘넘 맛있어요 ㅠㅠㅠㅠ자꾸 생각나는맛,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
직원분들친절하시고 맛도 좋아요  아쉬운건 사이드매뉴가 너무없어서빵 스프 아쉬웠어요,양식,"['친절하다', '좋다', '아쉽다', '없다', '아쉽다']",친절하다 좋다 아쉽다 없다 아쉽다,친절하다 좋다 아쉽다 없다 아쉽다,1,"['친절하다', '좋다', '아쉽다', '없다', '아쉽다']","['친절하다', '좋다', '아쉽다', '없다', '아쉽다']","[7, 2, 10, 3, 10]"
둘이서 먹기 힘들어요  세명이 적당할듯하는  큰중이 ,중식,"['힘들다', '적당하다']",힘들다 적당하다,힘들다 적당하다,0,"['힘들다', '적당하다']","['힘들다', '적당하다']","[24, 66]"
갈비탕 맛집맛보기로 주시는 도너츠도 넘넘 맛있어요다음에 또 오겠습니다,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
창가자리로 예약잘한것같아요 너무 이쁜공간이었습니다 직원분들이 많으셔서 그런지 필요해보이는거 떨어진것들 따로 말하지않아도 새심하게 다 챙겨주셔서 좋았어요 포크수저같은것도 코스하나하나당 접시위에 올려놓는건 바꿔주셔서 깔끔하게 다음 코스요리를 즐길수 있었습니당 가족외식이었는데  커플끼리 오면 더 좋을듯해요,양식,"['같다', '이쁘다', '많다', '그렇다', '필요하다', '심하다', '좋다', '같다', '깔끔하다', '있다', '좋다']",같다 이쁘다 많다 그렇다 필요하다 심하다 좋다 같다 깔끔하다 있다 좋다,같다 이쁘다 많다 그렇다 필요하다 심하다 좋다 같다 깔끔하다 있다 좋다,1,"['같다', '이쁘다', '많다', '그렇다', '필요하다', '심하다', '좋다', '같다', '깔끔하다', '있다', '좋다']","['같다', '이쁘다', '많다', '그렇다', '필요하다', '심하다', '좋다', '같다', '깔끔하다', '있다', '좋다']","[5, 32, 8, 12, 57, 47, 2, 5, 15, 4, 2]"
가성비는 아니지만 먹을만하네요전 매운거 시켰는데 생각보다 매웠어요,일식,"['아니다', '맵다', '맵다']",아니다 맵다 맵다,아니다 매다 매다,0,"['아니다', '매다', '매다']","['아니다', '매다', '매다']","[6, 50, 50]"
너무 맛있고 양도 많아서 자주올게요,일식,"['맛있다', '많다']",맛있다 많다,맛있다 많다,1,"['맛있다', '많다']","['맛있다', '많다']","[1, 8]"
매콤하고ㅈ맛있어요,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
진짜핫플사람미어터져요ㅋㅋㅋ커피맛은 신맛이라서 제취향은 아니였어요,카페,"['밉다', '아니다']",밉다 아니다,밉다 아니다,0,"['밉다', '아니다']","['밉다', '아니다']","[71, 6]"
오랫만에갔는데 맛있게먹거왔어요,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
친절해요,일식,['친절하다'],친절하다,친절하다,1,['친절하다'],['친절하다'],[7]
늦게가면 없어요,한식,['없다'],없다,없다,0,['없다'],['없다'],[3]
맛있었어요 그리고 친절하셨습니다,양식,"['맛있다', '친절하다']",맛있다 친절하다,맛있다 친절하다,1,"['맛있다', '친절하다']","['맛있다', '친절하다']","[1, 7]"
늦게가면 도넛종류가 거의 없어요,디저트,['없다'],없다,없다,0,['없다'],['없다'],[3]
딱히 맛집인지는물은 평범하고 비빔은 별로부산 가서 먹고 올게요,한식,"['딱하다', '평범하다']",딱하다 평범하다,딱하다 평범하다,0,"['딱하다', '평범하다']","['딱하다', '평범하다']","[90, 121]"
모짜렐라소고기스테이크 너무맛있어용다들 너무 친절하셔서 기분좋게 먹구갑니당,한식,"['맛있다', '친절하다', '좋다']",맛있다 친절하다 좋다,맛있다 친절하다 좋다,1,"['맛있다', '친절하다', '좋다']","['맛있다', '친절하다', '좋다']","[1, 7, 2]"
인테리어도 너무 좋고 저수지뷰도 느낌있고 좋네요,카페,"['좋다', '좋다']",좋다 좋다,좋다 좋다,1,"['좋다', '좋다']","['좋다', '좋다']","[2, 2]"
맛있아용 또 먹고싶어요,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
네이버로 예약하고 기분좋게식사하러 셋이서 갔는데예약이 안되있다고 하다가동명이인이 명 예약이라고하다가ㅜㅜ짜증폭발ㅜㅜ기다리라고 하더니한참후에 입장시켜주면서미안하다 죄송하다말한마디가 없네요입장시 확인하시는 여직원분교육다시 받으셔야 할듯,양식,"['좋다', '안되다', '미안하다', '죄송하다', '없다']",좋다 안되다 미안하다 죄송하다 없다,좋다 안되다 미안하다 죄송하다 없다,0,"['좋다', '안되다', '미안하다', '죄송하다', '없다']","['좋다', '안되다', '미안하다', '죄송하다', '없다']","[2, 19, 85, 48, 3]"
분위기가 밝고 매장이 넓어서 개방감이 좋네요 데이트하기 딱좋은거 같아요  마제소바 먹으러왔는데 맛있어요 카레도 꼭 드세요,일식,"['넓다', '좋다', '딱좋다', '같다', '맛있다']",넓다 좋다 딱좋다 같다 맛있다,넓다 좋다 딱좋다 같다 맛있다,1,"['넓다', '좋다', '딱좋다', '같다', '맛있다']","['넓다', '좋다', '딱좋다', '같다', '맛있다']","[16, 2, 240, 5, 1]"
어린이날 사람 많아서 정신 없는 와중에 부족한 거 없는지 세심히 봐주고 챙겨주셔서 좋았어요,양식,"['많다', '없다', '부족하다', '없다', '심하다', '좋다']",많다 없다 부족하다 없다 심하다 좋다,많다 없다 부족하다 없다 심하다 좋다,0,"['많다', '없다', '부족하다', '없다', '심하다', '좋다']","['많다', '없다', '부족하다', '없다', '심하다', '좋다']","[8, 3, 39, 3, 47, 2]"
캠핑 분위기의 고깃집이네요찬 종류가 전혀없고 김치도 중국산이어서 고기와 상추겉절이만 먹었어요,한식,['없다'],없다,없다,0,['없다'],['없다'],[3]
재료 신선하고 매장도 쾌적해서 좋아요,일식,"['신선하다', '쾌적하다', '좋다']",신선하다 쾌적하다 좋다,신선하다 쾌적하다 좋다,1,"['신선하다', '쾌적하다', '좋다']","['신선하다', '쾌적하다', '좋다']","[34, 100, 2]"
예약해서 대기 없이 바로 입장했습니다 크리스마스 이브라 너무 바빠보이셨지만 요청한것들 빨리 가져다 주셨어요 런치세트 가성비 좋아요,양식,"['바쁘다', '좋다']",바쁘다 좋다,바쁘다 좋다,1,"['바쁘다', '좋다']","['바쁘다', '좋다']","[22, 2]"
커피는 비싸지만물론 빵도비싸지만 빵,카페,"['비싸다', '비싸다']",비싸다 비싸다,비싸다 비싸다,0,"['비싸다', '비싸다']","['비싸다', '비싸다']","[9, 9]"
몇년 전 부터 맛집 이었던 곳 다른 체인점 해장국 감자탕집이랑 확연한 차이드셔보시면 알꺼에요강츄별개인 점은 국물이 원래 진한데 이날은 조금 연했기 때문에 그래용 그래도 항상 식사시간에는 일찍가지 않으면 자리가 금방 차니까 식사시간 피해서 가시면 더 좋구용매주 화요일마다 휴무입니다아,한식,"['연하다', '그렇다', '좋다', '이다']",연하다 그렇다 좋다 이다,연하다 그렇다 좋다 이다,1,"['연하다', '그렇다', '좋다', '이다']","['연하다', '그렇다', '좋다', '이다']","[135, 12, 2, 11]"
맛있고 깔끔합니다,양식,"['맛있다', '깔끔하다']",맛있다 깔끔하다,맛있다 깔끔하다,1,"['맛있다', '깔끔하다']","['맛있다', '깔끔하다']","[1, 15]"
일요일 퇴근하고 바람쐬러 왔다가 커피가 맛있다고 해서 들렸는데 처음에 비싼 가격에 살짝 헉했더랬죠 그런데 커피와 음료의 퀄리티와 맛을 보고 아 이정도는 되야겠네 라고 생각할 만큼 지금까지 가본 카페 중 손에 꼽힐 정도 였어요 커피 뿐만이 아니라 베이커리도 완전 굿진짜 담에 또 올거예요  정자쪽 오면 꼭 들려보세요,카페,"['맛있다', '비싸다', '아니다']",맛있다 비싸다 아니다,맛있다 비싸다 아니다,0,"['맛있다', '비싸다', '아니다']","['맛있다', '비싸다', '아니다']","[1, 9, 6]"
모임에는 무조건 더파티로 가요각자 입맛이 다르다 보니 뷔페를 선호하는편인데 분위기도 좋고 가격대비 음식도 너무 맛있고 특히 디저트도 맛있어서 자주 이용해요네이버예약시 할인도 되어서 좋아요,양식,"['다르다', '좋다', '맛있다', '맛있다', '좋다']",다르다 좋다 맛있다 맛있다 좋다,다르다 좋다 맛있다 맛있다 좋다,1,"['다르다', '좋다', '맛있다', '맛있다', '좋다']","['다르다', '좋다', '맛있다', '맛있다', '좋다']","[41, 2, 1, 1, 2]"
오전에 안가면 먹을수가 없네요,한식,['없다'],없다,없다,0,['없다'],['없다'],[3]
음식이 넘 맛있네요  담에 또 오고싶은곳,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
직원분들 친절하시고 고기가 맛있어요ㅎㅎ 주차 편해서 좋습니당,한식,"['친절하다', '맛있다', '편하다', '좋다']",친절하다 맛있다 편하다 좋다,친절하다 맛있다 편하다 좋다,1,"['친절하다', '맛있다', '편하다', '좋다']","['친절하다', '맛있다', '편하다', '좋다']","[7, 1, 21, 2]"
직원 목소리가 너무 커서 어수선한 분위기였어요 손님들은 조용한데 직원들 사담이 너무 잘 들려서 제가 식당에서 밥을 먹는지 주방 안에서 밥을 먹는지 헷갈릴 지경이었어요 식사 하는데 양해도 구하지 않고 불쑥 손을 넣어 컵을 추가하는 등 고객 응대가 아쉬웠어요 그런데 그것보다 더 아쉬운 건 맛이에요 인스턴트 우동도 요즘 참 잘 나오던데,일식,"['어수선하다', '조용하다', '헷갈리다', '양하다', '아쉽다', '아쉽다']",어수선하다 조용하다 헷갈리다 양하다 아쉽다 아쉽다,어수선하다 조용하다 헷갈리다 양하다 아쉽다 아쉽다,0,"['어수선하다', '조용하다', '헷갈리다', '양하다', '아쉽다', '아쉽다']","['어수선하다', '조용하다', '헷갈리다', '양하다', '아쉽다', '아쉽다']","[80, 58, 184, 10, 10]"
불맛나면서 너무 맛있어요,한식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
맛있어요다음에또올께요,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
창가 쪽 의자가 불편합니다쿠션은 푸욱 꺼지고 의자가 직물이라 오염부위는 관리가 안되여 있네요 그래서 그런지 가렵기도 하네요,디저트,"['불편하다', '안되다', '있다', '그렇다']",불편하다 안되다 있다 그렇다,불편하다 안되다 있다 그렇다,0,"['불편하다', '안되다', '있다', '그렇다']","['불편하다', '안되다', '있다', '그렇다']","[13, 19, 4, 12]"
너무친절하세요 잘먹었습니다,한식,['친절하다'],친절하다,친절하다,1,['친절하다'],['친절하다'],[7]
넓고 쾌적해요ㅎㅎ 맛도 좋아요 ,디저트,"['넓다', '쾌적하다', '좋다']",넓다 쾌적하다 좋다,넓다 쾌적하다 좋다,1,"['넓다', '쾌적하다', '좋다']","['넓다', '쾌적하다', '좋다']","[16, 100, 2]"
제 고향인 울산친구들이랑 이야기 나눌때면 꼭 찾는 단골집이에요 늘 친절하고 물회가 끝네주네요,해산물,['친절하다'],친절하다,친절하다,1,['친절하다'],['친절하다'],[7]
맛있어고 가성비 좋아요 ,일식,"['맛있다', '좋다']",맛있다 좋다,맛있다 좋다,1,"['맛있다', '좋다']","['맛있다', '좋다']","[1, 2]"
직원분들 엄청 친절하게 응대해주시고음식도 맛있었어요오랜만에 갔는데 만족스러운 식사였습니다,양식,"['친절하다', '맛있다', '만족스럽다']",친절하다 맛있다 만족스럽다,친절하다 맛있다 만족스럽다,1,"['친절하다', '맛있다', '만족스럽다']","['친절하다', '맛있다', '만족스럽다']","[7, 1, 60]"
두번째 방문 비오는 날 방파재 뷰와 바다뷰가 넘 멋지고 피자 완전 짱,카페,['멋지다'],멋지다,멋지다,1,['멋지다'],['멋지다'],[42]
분위기도 좋고 아기랑 같이 갓는데 아기 그릇이랑 수저 챙겨줘서 좋앗어용음식도 먹음직,양식,"['좋다', '좋다']",좋다 좋다,좋다 좋다,1,"['좋다', '좋다']","['좋다', '좋다']","[2, 2]"
미리 예약후 방문이라 테이블 만원 할인 적용받았습니다 코스로 나온요리들 깔끔하고 맛있었습니다 대게코스를 먹었는데 다음에는 랍스터 코스에 도전해봐야 겠습니다,해산물,"['깔끔하다', '맛있다']",깔끔하다 맛있다,깔끔하다 맛있다,1,"['깔끔하다', '맛있다']","['깔끔하다', '맛있다']","[15, 1]"
뷰가 너무 예쁘고 음료도 맛있고기분좋은장소 찾으시면 추천드려요,카페,"['예쁘다', '맛있다', '좋다']",예쁘다 맛있다 좋다,예쁘다 맛있다 좋다,1,"['예쁘다', '맛있다', '좋다']","['예쁘다', '맛있다', '좋다']","[28, 1, 2]"
볶음면 최고  친절하시고 너무 맛있어요,중식,"['친절하다', '맛있다']",친절하다 맛있다,친절하다 맛있다,1,"['친절하다', '맛있다']","['친절하다', '맛있다']","[7, 1]"
비싼만큼 대접 받는 느낌,한식,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
붓카게 우동 맛있어요 냉모밀도 맛있어요  하지만 시끄럽고 분위기는 시장바닥같네요 먹는데 너무 소란스러워서 불편해요 화장실은 바닥에 물이 흥건하고 더럽게 보여요,일식,"['맛있다', '맛있다', '시끄럽다', '같다', '스럽다', '불편하다', '더럽다']",맛있다 맛있다 시끄럽다 같다 스럽다 불편하다 더럽다,맛있다 맛있다 시끄럽다 같다 스럽다 불편하다 더럽다,0,"['맛있다', '맛있다', '시끄럽다', '같다', '스럽다', '불편하다', '더럽다']","['맛있다', '맛있다', '시끄럽다', '같다', '스럽다', '불편하다', '더럽다']","[1, 1, 29, 5, 69, 13, 62]"
엄청 크고 뷰좋아요 아직 오픈한디얼마안되서그런지 어수선하지만 커피가 비싸요 ㅠㅜ,카페,"['좋다', '안되다', '그렇다', '어수선하다', '비싸다']",좋다 안되다 그렇다 어수선하다 비싸다,좋다 안되다 그렇다 어수선하다 비싸다,0,"['좋다', '안되다', '그렇다', '어수선하다', '비싸다']","['좋다', '안되다', '그렇다', '어수선하다', '비싸다']","[2, 19, 12, 80, 9]"
얼마전에 엄마생신때 왔다가 아빠생신이라 또 왔습니다 드시고 싶은거 고르라고 했더니 부모님이 또 유정호 얘기 하시네요 역시 맛이 좋고 친절하게 대해주셔서 이제부터는 여기만 올겁니다 최고입니다,해산물,"['좋다', '친절하다', '이다']",좋다 친절하다 이다,좋다 친절하다 이다,1,"['좋다', '친절하다', '이다']","['좋다', '친절하다', '이다']","[2, 7, 11]"
음식이 회전률으 엄청빨라보이기는하나 대부분 식어있고 질기고 짜요 스파게티는 소스가생명아닌가요 왜 소스는 하나도없는데 엄청짠이유는뭘까여  ㅠㅠ 원래안이랫는데 암튼 짜요 ,양식,"['빨르다', '아니다', '없다']",빨르다 아니다 없다,빨르다 아니다 없다,0,"['빨르다', '아니다', '없다']","['빨르다', '아니다', '없다']","[6, 3]"
시마감이라고해서 시분경 들어와서 식사를 시작하였는데 분부터 청소를 시작하시더니 옆에와서 분 부터 분 까지는 다드시고 일어나야한다고 말하시면서 개속 눈치주는데 시까지면 시까지는 기다랴 줘야하는거 아닌가요 여사장님도 직원들 눈치만 보고 아무말안하시던데 좀아닌거같아요,한식,"['야하다', '아니다', '아니다', '같다']",야하다 아니다 아니다 같다,야하다 아니다 아니다 같다,0,"['야하다', '아니다', '아니다', '같다']","['야하다', '아니다', '아니다', '같다']","[31, 6, 6, 5]"
좀 많이 기다리긴했지만 음식은 맛있었어요라떼도 굿,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
매장크고 커피맛은 괜찮은데 가격은  비싸요,카페,"['괜찮다', '비싸다']",괜찮다 비싸다,괜찮다 비싸다,0,"['괜찮다', '비싸다']","['괜찮다', '비싸다']","[17, 9]"
명란파스타는 여기서만 정말 맛있어요,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
첫방문이에요사람많더니 핫플이네요맛있어요,일식,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"['많다', '맛있다']","['많다', '맛있다']","[8, 1]"
맛있고 친절 해요 ,카페,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
먹물 파스타 아란치니 맛있습니다리조또도 괜찮았구요,양식,"['맛있다', '괜찮다']",맛있다 괜찮다,맛있다 괜찮다,1,"['맛있다', '괜찮다']","['맛있다', '괜찮다']","[1, 17]"
오랜만에 피자몰 방문했는데 피자가 너무 짜서 제대로 먹지도 못했어요 다른 음식들도 맛없어서 그닥엥간하먄 다 잘 먹는데 처음으로 음식을 남겼어요 그리고 여자 알바생이 손님들이 앞에 있는데도 불구하고 하기 싫은 티를 내니까 기분이 나빴어요 ,양식,"['맛없다', '있다', '싫다', '나쁘다']",맛없다 있다 싫다 나쁘다,맛없다 있다 싫다 나쁘다,0,"['맛없다', '있다', '싫다', '나쁘다']","['맛없다', '있다', '싫다', '나쁘다']","[27, 4, 49, 18]"
애기들 데리고 갔는데 정말 아이들이 잘 먹네요 귀신같이 비싼집ㅠ 맛집ㅠ 잘 분별해 내는 아이들이에요 ㅎㅎ,해산물,['비싸다'],비싸다,비싸다,0,['비싸다'],['비싸다'],[9]
주차공간이 없어 불편했지만 맛있었어요 ,양식,"['없다', '불편하다', '맛있다']",없다 불편하다 맛있다,없다 불편하다 맛있다,0,"['없다', '불편하다', '맛있다']","['없다', '불편하다', '맛있다']","[3, 13, 1]"
매장 안이 넓고 청결해서 좋네요 음식도 맛있네요  다음에 또 오겠습니다,일식,"['넓다', '청결하다', '좋다', '맛있다']",넓다 청결하다 좋다 맛있다,넓다 청결하다 좋다 맛있다,1,"['넓다', '청결하다', '좋다', '맛있다']","['넓다', '청결하다', '좋다', '맛있다']","[16, 73, 2, 1]"
마제소바 완전 맛있어용,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
한번으로는 아쉬워 내년에도 방문예정,한식,['아쉽다'],아쉽다,아쉽다,0,['아쉽다'],['아쉽다'],[10]
깔끔하고 맛있어요 ,일식,"['깔끔하다', '맛있다']",깔끔하다 맛있다,깔끔하다 맛있다,1,"['깔끔하다', '맛있다']","['깔끔하다', '맛있다']","[15, 1]"
웨이팅 길긴한데 맛있어요,퓨전,"['길다', '맛있다']",길다 맛있다,길다 맛있다,1,"['길다', '맛있다']","['길다', '맛있다']","[102, 1]"
서비스도 가성비도 맛도 최상 사장님 망하면 안됩니다,한식,"['망하다', '안되다']",망하다 안되다,망하다 안되다,0,"['망하다', '안되다']","['망하다', '안되다']","[231, 19]"
매장이 좀 지저분하네요 도넛이야 평가할건없고요,디저트,"['지저분하다', '없다']",지저분하다 없다,지저분하다 없다,0,"['지저분하다', '없다']","['지저분하다', '없다']","[109, 3]"
생면 파스타라 식감도 독특하고 일반 파스타 처럼 더부룩한 느낌도 없어요 울산 최애 맛집 ㅜㅜ,양식,"['독특하다', '더부룩하다', '없다']",독특하다 더부룩하다 없다,독특하다 더부룩하다 없다,0,"['독특하다', '더부룩하다', '없다']","['독특하다', '더부룩하다', '없다']","[158, 3]"
돈까스 맛집이에요 저렴하고 맛도 좋음욧,일식,"['저렴하다', '좋다']",저렴하다 좋다,저렴하다 좋다,1,"['저렴하다', '좋다']","['저렴하다', '좋다']","[68, 2]"
가게 인테리어가 너무 마음에 들어요 깔끔한 분위기 깔끔한 맛 최고에요,일식,"['깔끔하다', '깔끔하다']",깔끔하다 깔끔하다,깔끔하다 깔끔하다,1,"['깔끔하다', '깔끔하다']","['깔끔하다', '깔끔하다']","[15, 15]"
소주에 희는 진리죠ㅎㅎ맛이 없을 수가 없네요 진짜 최고에요,해산물,"['희다', '없다', '없다']",희다 없다 없다,희다 없다 없다,0,"['희다', '없다', '없다']","['희다', '없다', '없다']","[229, 3, 3]"
그냥지나칠수없는곳오리지널글레이즈드초콜렛 아이스글레이즈드,디저트,['없다'],없다,없다,0,['없다'],['없다'],[3]
삼산 올 때면 자주 오는 집이에요 맛있어요 추천해요,일식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
맛있게 잘먹을께요,양식,['맛있다'],맛있다,맛있다,1,['맛있다'],['맛있다'],[1]
스시인에 나가사스키짬뽕 가성비높아요 ,일식,['높다'],높다,높다,1,['높다'],['높다'],[125]
시끄러운데 음악소리도크고  주차도뭐불편해요가성비없고좀비싸요,디저트,"['시끄럽다', '불편하다', '없다']",시끄럽다 불편하다 없다,시끄럽다 불편하다 없다,0,"['시끄럽다', '불편하다', '없다']","['시끄럽다', '불편하다', '없다']","[29, 13, 3]"
