리뷰,음식유형,리뷰2,리뷰3,리뷰4,label,토큰화된리뷰
여전히 맛있는 브레드 최고에요 ,양식,"['여전하다', '맛있다']",여전하다 맛있다,여전하다 맛있다,1,"[54, 1]"
코스먹기 딱 좋아요음식도 빨리빨리 나와서 식사하는데 불편함이 없어요,중식,"['좋다', '불편하다', '없다']",좋다 불편하다 없다,좋다 불편하다 없다,0,"[2, 13, 3]"
가격대비 만족합니다,양식,['만족하다'],만족하다,만족하다,1,[35]
가면 갈수록  예전보다   맛이  전반적으로  맛이 없어진 느낌이네요   메뉴도 그렇게  변화된 것도 없네요,양식,['없다'],없다,없다,0,[3]
저녁먹으러 갔습니다 가을밤에 바람이 쌀쌀했는데 음식먹으니까 바로 괜찮아졌네요뷰가 정말 이쁜데 밤에 오니 낮에 올걸 하는 아쉬움이 남아 다음번에 한번 더 가려구요사장님도 친절하시고 좋았습니다쟁반짜장 유니짜장 탕수육 시켰습니다탕수육 바삭하고 메인요리는 단맛만 엄청내는 여느 중국집이랑 달라서 개인적으로 만족했습니다바닷가 앞에서 중국집을 바로 시켜먹을 수 있는데가 얼마나 될까요 그것만으로도 올 이유 충분합니다남자화장실은 조금 아쉬웠네요 ㅠ주차장도 테이블도 많아요,중식,"['쌀쌀하다', '괜찮다', '이쁘다', '친절하다', '좋다', '만족하다', '있다', '충분하다', '아쉽다', '많다']",쌀쌀하다 괜찮다 이쁘다 친절하다 좋다 만족하다 있다 충분하다 아쉽다 많다,쌀쌀하다 괜찮다 이쁘다 친절하다 좋다 만족하다 있다 충분하다 아쉽다 많다,1,"[17, 32, 7, 2, 35, 4, 98, 10, 8]"
다들 맛잇고 친절하다해서방문전에 너무 기대를 한탓일까서빙해주던 남자분 뭔가 귀찮은듯한시반에가서 브레이크타임후라 지친것도 아닐텐데웃음기하나없이 맛잇게드세요하고그냥 가버리시고 수저도 카레를 시켜서 트레이에 안올라가서 그랫던걸까 그냥 툭내리고 가버리고치즈돈까스가 절반이나 남아서 포장하기위해 용기달랫는데 샐러드용기같은 동그란 이용기를여기에 담아가라구요 햇더니 남은거 포장하는사람은 다저기에 담아간단다분명 포장하는 네모난 스치로폼같은 용기를 보고 용기달라한건데 이걸어떻게 여기다담냐 햇더니 그냥다 거기담아간다는듯한 뉘앙스차라리 용기값이든다고 용기값추가잇다고 말을해주던지 그용기가 아까운거엿을까안심덩이랑 치돈절반이엿는데 완전 꾹꾹 눌러서 억지로담앗다 재방문은 없는걸로,양식,"['친절하다', '귀찮다', '아니다', '같다', '동그랗다', '같다', '어떻다', '아깝다', '없다']",친절하다 귀찮다 아니다 같다 동그랗다 같다 어떻다 아깝다 없다,친절하다 귀찮다 아니다 같다 동그랗다 같다 어떻다 아깝다 없다,0,"[7, 88, 6, 5, 5, 56, 20, 3]"
디저트 대표메뉴팥 인절미빙수딸기빙수들맛있게 먹고갑니다,디저트,['맛있다'],맛있다,맛있다,1,[1]
두번째방문인데 맛이 변함없네요,양식,"['변하다', '없다']",변하다 없다,변하다 없다,0,"[46, 3]"
처음 왔는데 직원분 친절하고 매장이 깔끔해서 좋아요 주말엔 사람 많을 거 같아요 예약해야할듯,일식,"['친절하다', '깔끔하다', '좋다', '많다', '같다']",친절하다 깔끔하다 좋다 많다 같다,친절하다 깔끔하다 좋다 많다 같다,1,"[7, 15, 2, 8, 5]"
의자가 불편함옆에 돌잔치로 산만했음,양식,"['불편하다', '산만하다']",불편하다 산만하다,불편하다 산만하다,0,[13]
카레가 진짜 맛있어요 메뉴도 다양하고 가격도 괜찮았어요 카레양이 좀 적어서 아쉬운것만 빼면 다 좋았어요 다음에 또 오고 싶네요,양식,"['맛있다', '다양하다', '괜찮다', '아쉽다', '좋다']",맛있다 다양하다 괜찮다 아쉽다 좋다,맛있다 다양하다 괜찮다 아쉽다 좋다,1,"[1, 30, 17, 10, 2]"
치즈춘권 맛있는데 양 좀 적어요 ㅜ,퓨전,['맛있다'],맛있다,맛있다,1,[1]
양도 많고 맛있어요주말인데 다행히 웨이팅없어서 더 좋았습니다,양식,"['많다', '맛있다', '다행하다', '없다', '좋다']",많다 맛있다 다행하다 없다 좋다,많다 맛있다 다행하다 없다 좋다,1,"[8, 1, 150, 3, 2]"
뷰가 좋고 넓어요 빵도 많고 메뉴들도 비싼만큼 맛있어요 화장실이 넘나 좋아요,카페,"['좋다', '넓다', '많다', '비싸다', '맛있다', '좋다']",좋다 넓다 많다 비싸다 맛있다 좋다,좋다 넓다 많다 비싸다 맛있다 좋다,1,"[2, 16, 8, 9, 1, 2]"
소고기가 부드럽고 맛있어요,한식,"['부드럽다', '맛있다']",부드럽다 맛있다,부드럽다 맛있다,1,"[36, 1]"
맛은 괜찮았지만 해감이 잘 안되어서 모래가 좀 씹히고 조개 껍질이 한번씩 씹혔어요 김치는 미리 테이블에 셋팅을 해놓아서 찝찝했고 짧은 머리카락같은게 있었어요 다같이 입맛 떨어질까봐 직원분께 따로 말씀 안드리고 조용히 껍질버리는곳에 버렸어요 가격은 비싼편이라서 한번쯤 방문해보는걸로 끝날 것 같아요,한식,"['괜찮다', '안되다', '찝찝하다', '짧다', '같다', '있다', '조용하다', '비싸다', '같다']",괜찮다 안되다 찝찝하다 짧다 같다 있다 조용하다 비싸다 같다,괜찮다 안되다 찝찝하다 짧다 같다 있다 조용하다 비싸다 같다,0,"[17, 19, 108, 165, 5, 4, 58, 9, 5]"
빠네 크림 파스타가 특히 맛있어요 나머지 메뉴도 가격 대비 훌륭합니다,양식,"['맛있다', '훌륭하다']",맛있다 훌륭하다,맛있다 훌륭하다,1,"[1, 127]"
번넘게 간 것같아요파스타 먹고 싶을 때마다 가장 먼저생각나는 헤이다이닝오늘도 너무 맛있게 먹고갑니다분위기도 좋고 친절하시고맛있는 레스토랑이에요,양식,"['같다', '맛있다', '좋다', '친절하다', '맛있다']",같다 맛있다 좋다 친절하다 맛있다,같다 맛있다 좋다 친절하다 맛있다,1,"[5, 1, 2, 7, 1]"
비오는날 빵을 테이크 아웃했어요 집에서 먹는데도 이렇게 맛있다니너무 맛있어요직원분께 여쭤보니 빵공장도 운영하신다고 하네요 대박새로 나온 텀블러도 너무 예쁘네요,카페,"['맛있다', '맛있다', '예쁘다']",맛있다 맛있다 예쁘다,맛있다 맛있다 예쁘다,1,"[1, 1, 28]"
친구 소개로 왔는데 짱 맛있었습니다 다음에 다시한번와서 또 먹어보고싶은 맛이네요 대박나시길 바랄게요,한식,['맛있다'],맛있다,맛있다,1,[1]
킹크랩 마리 만원 안에 장이 하나도 없음 장없다고 말을 해줬어야되는거아닌가 제대로 사기당함 별한개도 아깝다 ,해산물,"['없다', '없다', '아니다', '당하다', '아깝다']",없다 없다 아니다 당하다 아깝다,없다 없다 아니다 당하다 아깝다,0,"[3, 3, 6, 146, 20]"
시원하고 고소하고 단짠한 들기름막국수 비빌때마다 고소한 들기름향이 식욕폭발하게 만드네요닭튀김우동도 최고 시즌 끝나기전에 드세요강추,일식,"['시원하다', '고소하다', '짠하다', '고소하다']",시원하다 고소하다 짠하다 고소하다,시원하다 고소하다 짠하다 고소하다,0,"[53, 59, 59]"
역시 스테이크는 아웃백입니다좋은날 맛있게 잘 먹었습니다 ,양식,"['이다', '좋다', '맛있다']",이다 좋다 맛있다,이다 좋다 맛있다,1,"[11, 2, 1]"
맛있어요,중식,['맛있다'],맛있다,맛있다,1,[1]
좋아요,한식,['좋다'],좋다,좋다,1,[2]
음식도 빨리 나오고 매장도 넓고 새우튀김이 엄청 크더라구요 깜짝 놀랬어요 야채도 신선하고 맛있어요 직원분들도 엄청 친절하세요,일식,"['넓다', '놀래다', '신선하다', '맛있다', '친절하다']",넓다 놀래다 신선하다 맛있다 친절하다,넓다 놀래다 신선하다 맛있다 친절하다,1,"[16, 113, 34, 1, 7]"
좀 비싸죠,카페,['비싸다'],비싸다,비싸다,0,[9]
비싸고 양이 적어졌어요 배 안고픈 상태로 갔는데도 적어진게 느껴져요,한식,"['비싸다', '고프다']",비싸다 고프다,비싸다 고프다,0,"[9, 238]"
아이랑 함께 갔는데 아기의자도있고 친절하게 잘 챙겨주시네요 로봇이 서빙해줘서 아이들이 좋아하네요 맛도 괜찮은지 아이들도 잘 먹네요 ,양식,"['친절하다', '좋아하다', '괜찮다']",친절하다 좋아하다 괜찮다,친절하다 좋아하다 괜찮다,1,"[7, 23, 17]"
항상 만족스럽게 먹고가는 성남동 최애맛집이에요캠핑분위기의 인테리어에 캠핑음식으로 맛도 분위기도 최고지요 하나의 메뉴가 아닌 메뉴로 다양한 음식을 맛볼 수 있는 점이 메르티있는것 같아요 매번 똑같은 음식이 지겹다면 새로운음식이 먹고싶다면 더바베큐캠프를 방문해보세요 후회없는 식사로 만족하실꺼에요,한식,"['아니다', '다양하다', '있다', '있다', '같다', '똑같다', '지겹다', '새롭다', '없다', '만족하다']",아니다 다양하다 있다 있다 같다 똑같다 지겹다 새롭다 없다 만족하다,아니다 다양하다 있다 있다 같다 똑같다 지겹다 새롭다 없다 만족하다,0,"[6, 30, 4, 4, 5, 138, 208, 51, 3, 35]"
음식 종류가 아쉬웠음,양식,['아쉽다'],아쉽다,아쉽다,0,[10]
하우스와인에 알루미늄 포일인지 코르크 가루인지 떠다녀서 말씀드렸는데 수저로 건져내려하신건지 먼지만 더 추가되어서 왔어요 새로 따른게 아니라면 확인해서 내주셔야 할 것 같아요 이 나간 접시는 좀 확인하셔야 할 것 같네요,양식,"['새롭다', '아니다', '같다', '같다']",새롭다 아니다 같다 같다,새롭다 아니다 같다 같다,0,"[51, 6, 5, 5]"
자주옵니다넓고 깨끗해요,한식,"['넓다', '깨끗하다']",넓다 깨끗하다,넓다 깨끗하다,1,"[16, 38]"
날씨가 더워서 웨이팅을 해야하는 상황인데 어른들을 모시고 가서 번거로운데도 친절히 응대해주시고 음식 정갈합니다,양식,"['덥다', '번거롭다', '친절하다', '정갈하다']",덥다 번거롭다 친절하다 정갈하다,덥다 번거롭다 친절하다 정갈하다,0,"[25, 196, 7, 112]"
토마호크 셋트 먹었는데 사이드가 고정되어 있어 아쉬웠어요 매쉬드 포테이토 다 남겼고 라드베리잼 빵도 영 어색한 매치였습니다 담당 서버와 매니저님 계산하는 직원까지 서비스 신경쓰시는 모습이 인상적이었습니다 토마호크 스테이크는 굽기와 맛이 좋았고 투움바 파스타는 약간 싱겁고 덜 매콤해서 기대에 덜 미쳤답니다,양식,"['있다', '아쉽다', '어색하다', '좋다', '싱겁다', '미치다']",있다 아쉽다 어색하다 좋다 싱겁다 미치다,있다 아쉽다 어색하다 좋다 싱겁다 미치다,0,"[4, 10, 2, 52, 81]"
모두들 친절하고 기분좋게 먹었어요 계산할때 앞쪽손님이 불쾌했던게있었는지 머라고 하셨는데도 잘 대처하는모습을 보고 역시 아웃백이구나 싶었어요 저는 불쾌한게 없었는데 말이죠 전 또올꺼에요 토마호크 먹으러,양식,"['친절하다', '좋다', '불쾌하다', '있다', '불쾌하다', '없다']",친절하다 좋다 불쾌하다 있다 불쾌하다 없다,친절하다 좋다 불쾌하다 있다 불쾌하다 없다,0,"[7, 2, 76, 4, 76, 3]"
음식 양도 많고 넘 맛있어요 특히 샐러드가 너무 신선하고 좋았네요 리코타 샐러드 추천입니다,양식,"['많다', '맛있다', '신선하다', '좋다', '이다']",많다 맛있다 신선하다 좋다 이다,많다 맛있다 신선하다 좋다 이다,1,"[8, 1, 34, 2, 11]"
좋아요,디저트,['좋다'],좋다,좋다,1,[2]
맛있어요 ,한식,['맛있다'],맛있다,맛있다,1,[1]
여긴 진짜 찐맛집이라 대기가 팀이 넘어서 시간반을 기다려도 전혀 아깝지않은 맛이예요 불고기맛납니다,한식,['아깝다'],아깝다,아깝다,0,[20]
양도 많고 국물이 좋네요,한식,"['많다', '좋다']",많다 좋다,많다 좋다,1,"[8, 2]"
적당한 가격과 나쁘지 않은 맛,일식,"['적당하다', '나쁘다']",적당하다 나쁘다,적당하다 나쁘다,0,"[66, 18]"
피자가 너무 맛있고 카페 분위기가 너무좋아요그리고대화하기좋아서 강추입니다,카페,"['맛있다', '좋다', '화하다', '좋다', '이다']",맛있다 좋다 화하다 좋다 이다,맛있다 좋다 화하다 좋다 이다,1,"[1, 2, 2, 11]"
울산에서 초밥은 요기가 짱인듯 ㅎㅎ오늘 직원분이 실수로 후식을 쏟으셧는데 사장님 계속 죄송하다고 ㅎㅎ 사장님 마인드 짱 ㅎㅎ,일식,['죄송하다'],죄송하다,죄송하다,0,[48]
파전은 타고 속은 안익고 별로였어요 돈아까웠어요,한식,['아깝다'],아깝다,아깝다,0,[20]
울산커피맛집답게 커피가고급스러우면서도 정말 맛있어요한옥느낌의 인테리어로 편안한 느낌에 힐링하고갑니다,카페,"['고급스럽다', '맛있다', '편안하다']",고급스럽다 맛있다 편안하다,고급스럽다 맛있다 편안하다,1,"[133, 1, 142]"
연인과 함꼐하기엔 이만한곳이없죠,양식,['없다'],없다,없다,0,[3]
음식도 맛나고 친절하시고 분위기도 좋아요,양식,"['친절하다', '좋다']",친절하다 좋다,친절하다 좋다,1,"[7, 2]"
전세계 어느매장을 가도 변함없는 같은 맛,양식,"['변하다', '없다', '같다']",변하다 없다 같다,변하다 없다 같다,0,"[46, 3, 5]"
뷰가 엄청 예쁘고 음식도 맛있고 예뻐요 ,카페,"['예쁘다', '맛있다', '예쁘다']",예쁘다 맛있다 예쁘다,예쁘다 맛있다 예쁘다,1,"[28, 1, 28]"
점심에 웨이팅이 조금 있지만 신선하고 맛있었다,일식,"['있다', '신선하다', '맛있다']",있다 신선하다 맛있다,있다 신선하다 맛있다,1,"[4, 34, 1]"
뷰가좋고 음식이 맛있어요,카페,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
주차는 불편한데 음식이 맛잇고 빨리 나와요,양식,['불편하다'],불편하다,불편하다,0,[13]
남친이랑 맛있게 먹고 갑니다 ㅎ둘다 만족했어요 다음에 또 올것같네요,한식,"['맛있다', '만족하다', '같다']",맛있다 만족하다 같다,맛있다 만족하다 같다,1,"[1, 35, 5]"
조금 비싼 것 같아요,카페,"['비싸다', '같다']",비싸다 같다,비싸다 같다,0,"[9, 5]"
두번째 방문이에요  맛있어서 또 찾게되네요 ,일식,['맛있다'],맛있다,맛있다,1,[1]
분위기도 좋고 너무 맛있게 먹었습니다,해산물,"['좋다', '맛있다']",좋다 맛있다,좋다 맛있다,1,"[2, 1]"
좋아요,카페,['좋다'],좋다,좋다,1,[2]
평일 점심인데도 대기할 만큼 사람 많은 편이지만 매장 깔끔하고 음식맛도 괜찮았어요특히 점심특선 메뉴가 가성비 좋네요초밥은 맛이 괜찮은데 메밀이랑 튀김은 약간 아쉬운 맛이었어요후식도 나와서 좋고 물도 생수가 아닌 차라서 마음에 듭니다,일식,"['많다', '깔끔하다', '괜찮다', '좋다', '괜찮다', '아쉽다', '좋다', '아니다']",많다 깔끔하다 괜찮다 좋다 괜찮다 아쉽다 좋다 아니다,많다 깔끔하다 괜찮다 좋다 괜찮다 아쉽다 좋다 아니다,1,"[8, 15, 17, 2, 17, 10, 2, 6]"
초밥도 신선하고 돈가스도 바삭해서 너무 맛있어요 꼭꼭 다시 오고 싶습니당ㅠㅇㅠ,일식,"['신선하다', '맛있다']",신선하다 맛있다,신선하다 맛있다,1,"[34, 1]"
돼지국밥은 먹을만 했지만 사장님이 서비스 마인드가 부족하신듯허리 아픈 일행이 있어서 안내받은 좌식 말고 치우는거 기다리더라도 테이블로 앉고싶다고 했는 데일하시는 분 바쁘고 힘드니 그냥 순서대로 앉으라고 ㅎ 종업원 근무환경은 좋은 듯합니다 ,한식,"['부족하다', '아프다', '있다', '바쁘다', '힘들다', '좋다']",부족하다 아프다 있다 바쁘다 힘들다 좋다,부족하다 아프다 있다 바쁘다 힘들다 좋다,0,"[39, 87, 4, 22, 24, 2]"
근처 들렸다가 와 봤어요 리모델링 하기전에 와봤었는데 리모델링 후는 처음이네요 분위기가 너무 좋습니다 아이가 소금빵 좋아해서 시켰는데 맛있어요 맛도 분위기도 너무 좋네요,카페,"['좋다', '좋아하다', '맛있다', '좋다']",좋다 좋아하다 맛있다 좋다,좋다 좋아하다 맛있다 좋다,1,"[2, 23, 1, 2]"
맛있는데 서비스에 신경 좀 더 써주세요 주문 누락되지 않게,양식,['맛있다'],맛있다,맛있다,1,[1]
단체모임후 방문하였어요 맛있는 빵이 많아서 후식으로 너무 맛있게 먹었어요,디저트,"['맛있다', '많다', '맛있다']",맛있다 많다 맛있다,맛있다 많다 맛있다,1,"[1, 8, 1]"
낮에 오니 빵이 많아요 ㅎㅎ 고구마 같이 생긴 꿀 고구마 빵도 사고 소금빵들도 샀어요 ㅎㅎ맛있겠지여,디저트,"['많다', '맛있다']",많다 맛있다,많다 맛있다,1,"[8, 1]"
변함없는 그맛,한식,"['변하다', '없다']",변하다 없다,변하다 없다,0,"[46, 3]"
맛있고 경치도 좋고 좋아요,카페,"['맛있다', '좋다', '좋다']",맛있다 좋다 좋다,맛있다 좋다 좋다,1,"[1, 2, 2]"
불친절함,중식,['불친절하다'],불친절하다,불친절하다,0,[14]
항상 친절 하고 부족한게 없죠,양식,"['부족하다', '없다']",부족하다 없다,부족하다 없다,0,"[39, 3]"
간절곶 바람쐬러 올때 마다 들르는곳인데 역시고기는 늘 최고 거기에 쌈장찌게빠지면 섭하죠 ㅋㅋㅋ,한식,['섭하다'],섭하다,섭하다,0,[]
좋아요,양식,['좋다'],좋다,좋다,1,[2]
기브미파이브 주문 했습니다전체적으로 오래 조리한건아닌데 기름교체시기를 미룬건지 탄듯한 색감이고투움바파스타도원래  새우사이즈가 아닌 작은새우 써서 오래 조리 한건지 작아서 그런건지 새우 엄청 질기고 맛 없었어요그리구 양송이 스프에 양송이 말고 들어가는 첨가물거의 없었는데 양파다이스 입에 걸리고 뭔가 건더기 넣어서 양늘리려한 기분입니다아웃백  좋아해서 잘 가는 편인데 이렇게 까지 음식 퀄리티가 떨어질 수 있나싶네요매장서 말 하려다직원들이 무슨 죄인가 싶어 리뷰 남겨요그리고 스프먹다가 직원 한분 지나는데 와향수냄새 너무 독하더라구요 스프먹다 향을 먹는 기분식당에서 너무 향이 강한 향수는 사용 안 하는게 좋은 것 같아요오늘을 기점으로 이제 발길이 잘 안갈 것 같아요,양식,"['아니다', '아니다', '작다', '작다', '없다', '없다', '이다', '좋아하다', '있다', '독하다', '강하다', '좋다', '같다', '같다']",아니다 아니다 작다 작다 없다 없다 이다 좋아하다 있다 독하다 강하다 좋다 같다 같다,아니다 아니다 작다 작다 없다 없다 이다 좋아하다 있다 독하다 강하다 좋다 같다 같다,0,"[6, 6, 44, 44, 3, 3, 11, 23, 4, 126, 2, 5, 5]"
점은 없나요너무 불친절해요,양식,"['없다', '불친절하다']",없다 불친절하다,없다 불친절하다,0,"[3, 14]"
맛있어요,중식,['맛있다'],맛있다,맛있다,1,[1]
재방문했어요 막먹어버려서 사진을못찍은게 아쉽ㅎ 저는 이곳이 단골이 될듯,한식,['아쉽다'],아쉽다,아쉽다,0,[10]
제가 년넘게 살면서 머리털나고 처음으로 네이버블로그리뷰를 작성해보네요 유의사항 이런거 잘 모르겠고 부산에서 일부러 바다바라기에 밥먹으러 한시간반 차타고 왔는데요 기분좋게 밥먹으러가서 제발 달라고 구걸구걸해서 매운탕나오기까지 한시간반이였네요 꽃게라면이게 알인지 뭔지 저상태 그대로라면에 있었음 쓰레기인줄 배고파서 라면이라도 빨리달라했는데 그것도 겨우 분은 지나서 준듯 번넘게 라면좀 달라고 부탁해서 받아처먹은거 같네요 랍스타껍질통 하도 안들고가서 바닥에 놔둠 다른테이블쓰레기리어카 내옆에도 몇분을 놔두고 알바는 지할일하러감 죄송하다 한마디만 했어도 되는데ㅋ 이런갑질은첨당해봄ㅋㅋ요즘 다들어렵고 힘든데 이가게는 먹고살만한가봐요ㅋㅋ욕만자쓰고싶은데 이거지우지마세요제발ㅋㅋ,해산물,"['이렇다', '좋다', '있다', '배고프다', '같다', '죄송하다', '어렵다', '힘드다']",이렇다 좋다 있다 배고프다 같다 죄송하다 어렵다 힘드다,이렇다 좋다 있다 배고프다 같다 죄송하다 어렵다 힘드다,0,"[37, 2, 4, 183, 5, 48, 70, 95]"
항상 친절하고 맛 있 습 니 다,일식,"['친절하다', '있다']",친절하다 있다,친절하다 있다,1,"[7, 4]"
아웃백은 어딜가나 삼산점이 최고입니다서비스도 맛도 항상 방문 할 때마다 느껴요올지 말지 고민이 되어서 리뷰를 보신다면 무조건 고민말고 가세요 파스타 스테이크 서비스까지 모두 최고 아웃백만큼 맛있는 곳 없는 듯 해요ㅜㅜ,양식,"['이다', '맛있다', '없다']",이다 맛있다 없다,이다 맛있다 없다,1,"[11, 1, 3]"
주차는  힘들어도 먹을먀 해요,한식,['힘들다'],힘들다,힘들다,0,[24]
좋아요 ,한식,['좋다'],좋다,좋다,1,[2]
개맛있다 난 사진을 못찍지만 구성을 보면 맛없을수가없는 조합입니다,한식,"['있다', '맛없다', '없다', '이다']",있다 맛없다 없다 이다,있다 맛없다 없다 이다,0,"[4, 27, 3, 11]"
락교에서 이상한 냄새나요용기관리 좀,일식,['이상하다'],이상하다,이상하다,0,[65]
음식맛은 그냥저냥 한바퀴돌면 딱히 손가는데는 없는 듯,양식,"['딱하다', '없다']",딱하다 없다,딱하다 없다,0,"[90, 3]"
코스요리가 좀 비싸긴하고 그 값에 비해 좀 깔끔하지 못한점은 있으나ㅠㅠ 그래도 울산에 이렇게 해산물코스요리나오는곳이 많이 없어서ㅎ,해산물,"['비싸다', '깔끔하다', '있다', '없다']",비싸다 깔끔하다 있다 없다,비싸다 깔끔하다 있다 없다,0,"[9, 15, 4, 3]"
하도 소문나고 맛있데서 오후 시쯤 갔는데 생각보다 사람이 없었다 그런데 앉아서 주문할려고 벨을누르니 사람이 안옴 번 누르고서야 왔네요 벨누르는걸 봤지만 그냥 지나치네요그리고 불고기를 시키는데 탄부위겉어 내니깐 먹을거 없었네요한창밥을먹다가 콩나물 반찬에 반짝 거리길래 비닐같아서 종업원한테 말하니 총책임자가 오자마자 죄송합니다라고 했습니다 그러더니 서비스로 육회를 준다고 해서 기다리고 있었더니 갑자기 오더니 손님 이거 멸치 비늘이네요 죄송합니다아니 죄송할껀 아니죠 예예이렇게 큰소리로 따지듯 얘길하였네요 ㅎ 거꾸로 우리가 잘못한것처럼 만들어 버림 그리고 나가서 계산하는데 아무말없이 카드받고 결제했네요 감사합니다 얼마 나왔습니다 라는 말한마디 없이어쨋든 비추천 열받아서 물국수만 그릇 먹었음,한식,"['맛있다', '없다', '없다', '같다', '죄송하다', '그렇다', '있다', '죄송하다', '아니다', '죄송하다', '아니다', '없다']",맛있다 없다 없다 같다 죄송하다 그렇다 있다 죄송하다 아니다 죄송하다 아니다 없다,맛있다 없다 없다 같다 죄송하다 그렇다 있다 죄송하다 아니다 죄송하다 아니다 없다,0,"[1, 3, 3, 5, 48, 12, 4, 48, 6, 48, 6, 3]"
넘넘 맛있습니다울산의 최애초밥집,일식,['맛있다'],맛있다,맛있다,1,[1]
밑반찬이 없어요,한식,['없다'],없다,없다,0,[3]
맛있었어요,해산물,['맛있다'],맛있다,맛있다,1,[1]
음식 맛은 나쁘지 않은데 한입 먹고 테이블 위에 있는 에어컨과 주변 상태를 보고 나서 속이 너무 안좋았어요에어컨 외관 부터 더럽고 이후에 후기를 보니 가게 더럽다는 말이 있더라구요이렇게까지 먼지 쌓이고 더러워지려면 언제부터 청소를 안하셨나요 가게 직원분들은 가게에 사장님 안계시니까 알고도 말 안하시는거죠ㅠㅠ 피자는 화덕피자치곤 두꺼운데 그래도 먹을만했고 이베리코는 조금은 탄부위는 있어서 나쁘지 않았어요고구마튀김을 시켰는데 이때까지 먹은 고구마 튀김 중에는 맛있어서 만족했어요여긴 대접하고 싶은 사람과는 함께 가지 않으셨으면 해요비위 상하고 다신 안갈꺼에요,양식,"['나쁘다', '있다', '안좋다', '더럽다', '더럽다', '있다', '계시다', '두껍다', '있다', '나쁘다', '맛있다', '만족하다']",나쁘다 있다 안좋다 더럽다 더럽다 있다 계시다 두껍다 있다 나쁘다 맛있다 만족하다,나쁘다 있다 안좋다 더럽다 더럽다 있다 계시 다 두껍다 있다 나쁘다 맛있다 만족하다,0,"[18, 4, 67, 62, 62, 4, 63, 178, 4, 18, 1, 35]"
역시 명불허전이네요괜히 유정호가 아니에요ㅋ제일 믿고 먹을 수 있는 곳강추합니다,해산물,"['아니다', '있다', '추하다']",아니다 있다 추하다,아니다 있다 추하다,0,"[6, 4, 40]"
예약된 시간에 입장가능하며 음식과 분위기는 나쁘지 않았지만 생각보다 약간 시끄러운듯 하네요,양식,"['가능하다', '나쁘다', '시끄럽다']",가능하다 나쁘다 시끄럽다,가능하다 나쁘다 시끄럽다,0,"[93, 18, 29]"
여기 서빙하는 사람들은 전부다 무뚝뚝하고불친절함손님이 말하기전에 가버리는건예사고 퉁명스러움,한식,"['무뚝뚝하다', '불친절하다', '스럽다']",무뚝뚝하다 불친절하다 스럽다,무뚝뚝하다 불친절하다 스럽다,0,"[210, 14, 69]"
음식도 맛있구 다들 친절하셔서 정말 좋았어요예약을하고가서 좋은 자리에 앉아서 먹어서도 좋았고 네이버 예약으로 이용하니 미리 다시 알려주는것도 좋앗고 전화로 이렇게 저렇게 예약하는게 아니라서 편해서도 좋았구요 여러모로 좋았어서 또 갈 것 같애요,양식,"['맛있다', '친절하다', '좋다', '좋다', '좋다', '좋다', '아니다', '편하다', '좋다', '좋다', '같다']",맛있다 친절하다 좋다 좋다 좋다 좋다 아니다 편하다 좋다 좋다 같다,맛있다 친절하다 좋다 좋다 좋다 좋다 아니다 편하다 좋다 좋다 같다,1,"[1, 7, 2, 2, 2, 2, 6, 21, 2, 2, 5]"
지난번에는 오래 기다렸는데 이번엔 운좋게 도착하자마자 좌석 안내받았어요 수시로 종업원들이 오가시며 불편한 점 없는지 확인해주셨고요,양식,"['좋다', '불편하다', '없다']",좋다 불편하다 없다,좋다 불편하다 없다,0,"[2, 13, 3]"
매장도 넓구 직원 분들도 넘 친절하시구 초밥도 엄청 맛있어요 완전 짱입니다 가성비도 갑이구요,일식,"['넓다', '친절하다', '맛있다', '이다']",넓다 친절하다 맛있다 이다,넓다 친절하다 맛있다 이다,1,"[16, 7, 1, 11]"
너무 맛있어서 자주 오는곳 진짜 짬뽕은 여기가 최강 맛집 ,중식,['맛있다'],맛있다,맛있다,1,[1]
아픈 매콤함이 아니구 기분좋으면서 뭔가 해소되는 매운맛이에요,한식,"['아프다', '아니다', '좋다', '맵다']",아프다 아니다 좋다 맵다,아프다 아니다 좋다 매다,0,"[87, 6, 2, 50]"
냄새 도 없고 정말 돈까스맛집,양식,['없다'],없다,없다,0,[3]
조아요 ,카페,['좋다'],좋다,좋다,1,[2]
재료가 신선하고 초밥이 맛있습니다 ㅎㅎ,일식,"['신선하다', '맛있다']",신선하다 맛있다,신선하다 맛있다,1,"[34, 1]"
친절하고 부탁드리기 전에 투움바 소스는 부족하지 않으시냐면서 추가해 드릴까요 하고 물어봐주셔서 촉촉하게 먹었습니다만족ㅎㅎ,양식,"['친절하다', '부탁드리다', '부족하다', '촉촉하다']",친절하다 부탁드리다 부족하다 촉촉하다,친절하다 부탁드리다 부족하다 촉촉하다,1,"[7, 79, 39, 174]"
시설도 깔끔하고 음식도 맛있었어용,일식,"['깔끔하다', '맛있다']",깔끔하다 맛있다,깔끔하다 맛있다,1,"[15, 1]"
갈수록맛이없다,양식,['없다'],없다,없다,0,[3]
언제나 맛있는 아니마 울산에 손꼽히는 양식맛집강추합니다,양식,"['맛있다', '아니다', '추하다']",맛있다 아니다 추하다,맛있다 아니다 추하다,0,"[1, 6, 40]"
